Comunidades y ciudades autónomas;Sexo;País de nacimiento;Grupo quinquenal de edad;Periodo;Total
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2013S2;168
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2013S1;32
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2012S2;268
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2012S1;115
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2011S2;405
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2011S1;299
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2010S2;373
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2010S1;242
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2009S2;440
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2009S1;312
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2008S2;719
01 Andalucía;Hombres;Extranjero;De 10 a 14 años  ;2008S1;833
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2022S1;1663
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2021S2;1334
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2021S1;797
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2020S2;944
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2020S1;940
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2019S2;1577
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2019S1;1314
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2018S2;1144
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2018S1;716
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2017S2;750
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2017S1;477
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2016S2;467
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2016S1;318
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2015S2;414
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2015S1;288
